station,variable,year,month,month_num,value
Astore,min_temp,1999,August,8,13.9
Astore,min_temp,1999,September,9,12.0
Astore,min_temp,1999,October,10,4.8
Astore,min_temp,1999,November,11,0.6
Astore,min_temp,1999,December,12,-4.2
Astore,min_temp,2000,January,1,-7.0
Astore,min_temp,2000,February,2,-7.5
Astore,min_temp,2000,March,3,-1.1
Astore,min_temp,2000,April,4,5.2
Astore,min_temp,2000,May,5,7.5
Astore,min_temp,2000,June,6,12.4
Astore,min_temp,2000,July,7,15.2
Astore,min_temp,2000,August,8,13.8
Astore,min_temp,2000,September,9,10.7
Astore,min_temp,2000,October,10,5.8
Astore,min_temp,2000,November,11,1.1
Astore,min_temp,2000,December,12,-4.4
Astore,min_temp,2001,January,1,-6.3
Astore,min_temp,2001,February,2,-2.7
Astore,min_temp,2001,March,3,-0.3
Astore,min_temp,2001,April,4,5.9
Astore,min_temp,2001,May,5,10.5
Astore,min_temp,2001,June,6,13.3
Astore,min_temp,2001,July,7,16.0
Astore,min_temp,2001,August,8,14.6
Astore,min_temp,2001,September,9,8.9
Astore,min_temp,2001,October,10,5.6
Astore,min_temp,2001,November,11,-1.7
Astore,min_temp,2001,December,12,-4.3
Astore,min_temp,2002,January,1,-10.5
Astore,min_temp,2002,February,2,-5.2
Astore,min_temp,2002,March,3,-1.0
Astore,min_temp,2002,April,4,3.9
Astore,min_temp,2002,May,5,8.7
Astore,min_temp,2002,June,6,11.5
Astore,min_temp,2002,July,7,13.1
Astore,min_temp,2002,August,8,14.9
Astore,min_temp,2002,September,9,8.8
Astore,min_temp,2002,October,10,5.5
Astore,min_temp,2002,November,11,0.8
Astore,min_temp,2002,December,12,-3.6
Astore,min_temp,2003,January,1,-5.0
Astore,min_temp,2003,February,2,-4.1
Astore,min_temp,2003,March,3,-1.5
Astore,min_temp,2003,April,4,4.5
Astore,min_temp,2003,May,5,5.8
Astore,min_temp,2003,June,6,11.6
Astore,min_temp,2003,July,7,15.0
Astore,min_temp,2003,August,8,13.6
Astore,min_temp,2003,September,9,10.0
Astore,min_temp,2003,October,10,3.9
